Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Company
2022-10-17,141.065,142.9,140.27,142.41,140.698277409509,85250939,0.0,1.0,AAPL
2022-10-18,145.49,146.7,140.61,143.75,142.02217103867,99136610,0.0,1.0,AAPL
2022-10-19,141.69,144.9492,141.5,143.86,142.1308488739,61758340,0.0,1.0,AAPL
2022-10-20,143.02,145.89,142.65,143.39,141.666498123373,64521989,0.0,1.0,AAPL
2022-10-21,142.87,147.8479,142.649,147.27,145.499861766017,86548609,0.0,1.0,AAPL
2022-10-24,147.185,150.23,146.0,149.45,147.653658864203,75981918,0.0,1.0,AAPL
2022-10-25,150.09,152.49,149.36,152.34,150.508921989781,74732290,0.0,1.0,AAPL
2022-10-26,150.96,151.99,148.04,149.35,147.554860832176,88436172,0.0,1.0,AAPL
2022-10-27,148.07,149.046,144.13,144.8,143.059550374952,109180150,0.0,1.0,AAPL
2022-10-28,148.2,157.5,147.82,155.74,153.868055078695,164762371,0.0,1.0,AAPL
2022-10-31,153.155,154.24,151.92,153.34,151.49690231005,97943171,0.0,1.0,AAPL
2022-11-01,155.08,155.45,149.13,150.65,148.839235248526,80379345,0.0,1.0,AAPL
2022-11-02,148.945,152.17,145.0,145.03,143.286785848614,93604623,0.0,1.0,AAPL
2022-11-03,142.06,142.8,138.75,138.88,137.21070687896,97918516,0.0,1.0,AAPL
2022-11-04,142.09,142.67,134.38,138.38,136.943952192487,140814796,0.23,1.0,AAPL
2022-11-07,137.11,139.145,135.671,138.92,137.478348305971,83374628,0.0,1.0,AAPL
2022-11-08,140.41,141.43,137.49,139.5,138.052329316751,89908477,0.0,1.0,AAPL
2022-11-09,138.5,138.55,134.5933,134.87,133.47037745484,74917794,0.0,1.0,AAPL
2022-11-10,141.24,146.87,139.5,146.87,145.345846643378,118854028,0.0,1.0,AAPL
2022-11-11,145.82,150.01,144.37,149.7,148.146478127008,93979665,0.0,1.0,AAPL
2022-11-14,148.97,150.28,147.43,148.28,146.741214273031,73374114,0.0,1.0,AAPL
2022-11-15,152.215,153.59,148.5613,150.04,148.482949754016,89868332,0.0,1.0,AAPL
2022-11-16,149.13,149.87,147.29,148.79,147.245921713544,64218266,0.0,1.0,AAPL
2022-11-17,146.43,151.48,146.15,150.72,149.155893008033,80389400,0.0,1.0,AAPL
2022-11-18,152.305,152.7,149.97,151.29,149.719977794489,74829573,0.0,1.0,AAPL
2022-11-21,150.16,150.37,147.715,148.01,146.474016216289,58724070,0.0,1.0,AAPL
2022-11-22,148.13,150.42,146.925,150.18,148.621496894549,51804132,0.0,1.0,AAPL
2022-11-23,149.45,151.83,149.34,151.07,149.502260859366,58301395,0.0,1.0,AAPL
2022-11-25,148.305,148.88,147.12,148.11,146.572978459527,35195860,0.0,1.0,AAPL
2022-11-28,145.14,146.64,143.38,144.22,142.723347197576,69346522,0.0,1.0,AAPL
2022-11-29,144.29,144.81,140.355,141.17,139.704998778822,83763803,0.0,1.0,AAPL
2022-11-30,141.395,148.72,140.55,148.03,146.493808664936,111380880,0.0,1.0,AAPL
2022-12-01,148.21,149.13,146.61,148.31,146.770902946002,71250416,0.0,1.0,AAPL
2022-12-02,145.96,148.0,145.65,147.81,146.276091729813,65447446,0.0,1.0,AAPL
2022-12-05,147.77,150.9199,145.77,146.63,145.108337259607,68826442,0.0,1.0,AAPL
2022-12-06,147.075,147.3,141.92,142.91,141.42694181116,64727186,0.0,1.0,AAPL
2022-12-07,142.19,143.37,140.0,140.94,139.477385619375,69721094,0.0,1.0,AAPL
2022-12-08,142.36,143.52,141.1,142.65,141.169639978742,62128338,0.0,1.0,AAPL
2022-12-09,142.34,145.57,140.9,142.16,140.684724986877,76097011,0.0,1.0,AAPL
2022-12-12,142.7,144.5,141.06,144.49,142.990545254318,70462654,0.0,1.0,AAPL
2022-12-13,149.5,149.9692,144.24,145.47,143.960375238048,93886161,0.0,1.0,AAPL
2022-12-14,145.35,146.655,141.16,143.21,141.723828540874,82291182,0.0,1.0,AAPL
2022-12-15,141.11,141.8,136.025,136.5,135.083462019616,98931907,0.0,1.0,AAPL
2022-12-16,136.685,137.65,133.73,134.51,133.114113379184,160156900,0.0,1.0,AAPL
2022-12-19,135.11,135.2,131.32,132.37,130.996321373895,79592614,0.0,1.0,AAPL
2022-12-20,131.39,133.25,129.89,132.3,130.927047803628,77432819,0.0,1.0,AAPL
2022-12-21,132.98,136.81,132.75,135.45,134.044358465619,85927993,0.0,1.0,AAPL
2022-12-22,134.352,134.56,130.3,132.23,130.857774233362,77852108,0.0,1.0,AAPL
2022-12-23,130.92,132.415,129.64,131.86,130.491613933382,63814893,0.0,1.0,AAPL
2022-12-27,131.38,131.41,128.72,130.03,128.68060488213,69007830,0.0,1.0,AAPL
2022-12-28,129.67,131.0275,125.87,126.04,124.732011376941,85438391,0.0,1.0,AAPL
2022-12-29,127.99,130.4814,127.73,129.61,128.264963460531,75703710,0.0,1.0,AAPL
2022-12-30,128.41,129.95,127.43,129.93,128.581642638892,77034209,0.0,1.0,AAPL
2023-01-03,130.28,130.9,124.17,125.07,123.772077617534,112117471,0.0,1.0,AAPL
2023-01-04,126.89,128.6557,125.08,126.36,125.048690555302,89113633,0.0,1.0,AAPL
2023-01-05,127.13,127.77,124.76,125.02,123.722596495915,80962708,0.0,1.0,AAPL
2023-01-06,126.01,130.29,124.89,129.62,128.274859684855,87754715,0.0,1.0,AAPL
2023-01-09,130.465,133.41,129.89,130.15,128.799359574015,70790813,0.0,1.0,AAPL
2023-01-10,130.26,131.2636,128.12,130.73,129.373340584794,63896155,0.0,1.0,AAPL
2023-01-11,131.25,133.51,130.46,133.49,132.104698498158,69458949,0.0,1.0,AAPL
2023-01-12,133.88,134.26,131.44,133.41,132.025528703568,71379648,0.0,1.0,AAPL
2023-01-13,132.03,134.92,131.66,134.76,133.361518987278,57809719,0.0,1.0,AAPL
2023-01-17,134.83,137.29,134.13,135.94,134.529273457485,63646627,0.0,1.0,AAPL
2023-01-18,136.815,138.61,135.03,135.21,133.806849081849,69672800,0.0,1.0,AAPL
2023-01-19,134.08,136.25,133.77,135.27,133.866226427791,58280413,0.0,1.0,AAPL
2023-01-20,135.28,138.02,134.22,137.87,136.439244751974,80223626,0.0,1.0,AAPL
2023-01-23,138.12,143.315,137.9,141.11,139.64562143288,81760313,0.0,1.0,AAPL
2023-01-24,140.305,143.16,140.3,142.53,141.050885286856,66435142,0.0,1.0,AAPL
2023-01-25,140.89,142.43,138.81,141.86,140.387838257163,65799349,0.0,1.0,AAPL
2023-01-26,143.17,144.25,141.9,143.96,142.466045365157,54105068,0.0,1.0,AAPL
2023-01-27,143.155,147.23,143.08,145.93,144.415601556942,70555843,0.0,1.0,AAPL
2023-01-30,144.955,145.55,142.85,143.0,141.516007830074,64015274,0.0,1.0,AAPL
2023-01-31,142.7,144.34,142.28,144.29,142.792620767842,65874459,0.0,1.0,AAPL
2023-02-01,143.97,146.61,141.32,145.43,143.920790340753,77663633,0.0,1.0,AAPL
